patient_id,first_name,last_name,dob,email,phone,preferred_doctor,preferred_location,insurance_carrier,member_id,group_number,returning_patient
P036,Ira,Kulkarni,1971-09-24,ira.kulkarni35@example.com,+91-9662110918,Dr. Kapoor,Bengaluru Clinic,New India Assurance,M914225,G4000,No
P037,Diya,Sharma,1973-06-09,diya.sharma36@example.com,+91-9608409165,Dr. Kapoor,Delhi Clinic,HDFC Ergo,M683506,G2011,Yes
P038,Krish,Kulkarni,2007-08-12,krish.kulkarni37@example.com,+91-9942106156,Dr. Rao,Delhi Clinic,HDFC Ergo,M360565,G4134,No
P039,Arjun,Verma,1968-10-07,arjun.verma38@example.com,+91-9703152336,Dr. Rao,Bengaluru Clinic,New India Assurance,M441430,G9282,No
P040,Diya,Kulkarni,1977-11-21,diya.kulkarni39@example.com,+91-9585702592,Dr. Kapoor,Delhi Clinic,New India Assurance,M632416,G5057,No
P041,Tara,Kulkarni,1983-04-16,tara.kulkarni40@example.com,+91-9317527775,Dr. Banerjee,Bengaluru Clinic,New India Assurance,M227529,G7428,No
P042,Myra,Bose,1966-07-05,myra.bose41@example.com,+91-9559925153,Dr. Rao,Bengaluru Clinic,ICICI Lombard,M922016,G3004,No
P043,Om,Iyer,1992-11-07,om.iyer42@example.com,+91-9247376007,Dr. Banerjee,Bengaluru Clinic,HDFC Ergo,M517602,G8983,Yes
P044,Ishaan,Khan,1974-06-26,ishaan.khan43@example.com,+91-9653626718,Dr. Banerjee,Mumbai Clinic,New India Assurance,M305253,G6842,No
P045,Krish,Mehta,1992-10-30,krish.mehta44@example.com,+91-9694906926,Dr. Banerjee,Mumbai Clinic,HDFC Ergo,M503014,G6431,Yes
P046,Aisha,Yadav,1986-07-04,aisha.yadav45@example.com,+91-9169031717,Dr. Rao,Bengaluru Clinic,HDFC Ergo,M188144,G5351,No
P047,Arjun,Verma,1976-04-15,arjun.verma46@example.com,+91-9239109222,Dr. Banerjee,Delhi Clinic,ICICI Lombard,M525667,G3447,Yes
P048,Riya,Kulkarni,2011-03-11,riya.kulkarni47@example.com,+91-9451165661,Dr. Rao,Mumbai Clinic,HDFC Ergo,M938428,G4003,Yes
P049,Ira,Mehta,1984-02-16,ira.mehta48@example.com,+91-9781224235,Dr. Rao,Mumbai Clinic,HDFC Ergo,M737720,G4643,No
P050,Vivaan,Singh,1970-12-01,vivaan.singh49@example.com,+91-9464161443,Dr. Kapoor,Mumbai Clinic,ICICI Lombard,M751903,G3117,Yes
